Time,day,hour,Temperature(°C),Wind Speed(km/hr.),Moisture(%),Pressure(millibars),PM_2.5(µg/m^3)
09/01/2024 13:18:43,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:19:11,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:19:27,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:19:51,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:20:18,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:20:35,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:20:59,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:21:27,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:21:43,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:22:07,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:22:37,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:22:53,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:23:15,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:23:44,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:24:01,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:24:22,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:24:51,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:25:09,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:25:29,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:26:03,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:26:17,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:26:38,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:27:11,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:27:26,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:27:47,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:28:19,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:28:34,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:28:55,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:29:27,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:29:42,9,13,33.0,3.6,52.0,1010.0,45.5
09/01/2024 13:30:03,9,13,33.0,3.6,52.0,1010.0,45.5
